spec_id,deposit_timing,cohort_start,w12,w24,max_drawdown,fees,turnover,unexecutable_rate,funds_insufficient,lot_rounding,suspension_or_missing_price,target_change_unfilled,asset_identity_passed,daily_ledger_sha256,daily_ledger_rows
S4SD-0039,beginning,2014-07-23,438924.56672999996,872600.2113799999,-0.11669268117241527,1903.78862,2702495.0,0.025,0,0,0,1,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2014-08-01,400812.11792,832868.4448099999,-0.11665058985054,1708.5551899999998,2423440.2,0.05128205128205128,0,0,0,2,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2014-09-01,394025.44996999996,815646.0501900001,-0.11659064827795163,1519.3498099999997,2153208.8000000003,0.02631578947368421,0,0,0,1,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2014-10-08,385375.73202,806069.64257,-0.1164039009683423,1371.85743,1944125.4999999995,0.02631578947368421,0,0,0,1,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2014-11-03,407771.67088,822713.5826999999,-0.11634153196545649,1234.9172999999998,1751066.8999999997,0.02631578947368421,0,0,0,1,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2014-12-01,370525.71814,758205.0583600001,-0.116486558032872,1062.4416400000002,1507396.7000000004,0.027777777777777776,0,0,0,1,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2015-01-05,396554.03041999997,776934.2942599999,-0.11646125336878688,1463.9057400000002,2082663.5,0.027777777777777776,0,0,0,1,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2015-02-02,396564.79141999997,744452.3666699999,-0.11637354665227384,1315.3333300000002,1872054.9,0.029411764705882353,0,0,0,1,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2015-03-02,412025.0494,770392.1090900002,-0.11563039420992904,1187.89091,1691894.0,0.030303030303030304,0,0,0,1,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2015-04-01,373224.86979,735918.73203,-0.1159714649018545,1054.46797,1502665.5,0.03125,0,0,0,1,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2015-05-04,411379.07337999996,758717.3575199998,-0.11550430462135275,1478.04248,2109456.6,0.030303030303030304,0,0,0,1,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2015-06-01,371326.43447,726351.56781,-0.11406344500367405,1328.93219,1897293.6000000003,0.0,0,0,0,0,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2015-07-01,388460.77593,717990.57234,-0.037672992059449184,1236.8276599999997,1766567.4,0.0,0,0,0,0,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2015-08-03,420350.04244,750081.0371100002,-0.037653815944081015,1181.1628899999998,1687330.1999999997,0.0,0,0,0,0,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2015-09-01,382128.97144999995,720409.35558,-0.03764393523414322,1102.44442,1574920.5999999999,0.0,0,0,0,0,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2015-10-08,380531.08658999996,717041.5227099999,-0.03767578468711941,1032.37729,1474824.6999999997,0.0,0,0,0,0,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2015-11-02,405088.93873,741604.1999800002,-0.037676218321781696,1460.5000199999997,2086428.5999999996,0.0,0,0,0,0,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2015-12-01,362494.96237,710129.48352,-0.03766000660810431,1363.71648,1948166.3999999997,0.0,0,0,0,0,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2016-01-04,389150.45956,741194.8863799999,-0.03764491327234054,1778.61362,2540876.5999999996,0.0,0,0,0,0,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
S4SD-0039,beginning,2016-02-01,357678.04894,710186.2569200001,-0.03767768522048798,1678.04308,2397204.4000000004,0.0,0,0,0,0,True,381bc1921f50206d66790e7c87c2d4075bf6438fc8c00a8b60008f25036652a0,117728
