spec_id,deposit_timing,cohort_start,w12,w24,max_drawdown,fees,turnover,unexecutable_rate,funds_insufficient,lot_rounding,suspension_or_missing_price,target_change_unfilled,asset_identity_passed,daily_ledger_sha256,daily_ledger_rows
S4SD-0076,beginning,2016-05-03,395445.99459,745350.1065300002,-0.05612738769905967,2022.69347,2889562.1,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2016-06-01,363403.44302,714743.5696400001,-0.05609516262264547,1913.5303599999997,2733614.7999999993,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2016-07-01,355712.30994000006,717054.51762,-0.056155558190565724,1818.8823799999998,2598403.4,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2016-08-01,355538.28723,720672.9442500001,-0.05609337882008825,1727.75575,2468222.5,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2016-09-01,357451.11162000004,722104.6541400001,-0.056011506658987575,1636.44586,2337779.8,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2016-10-10,387631.54153,755489.00999,-0.05596182112457493,1560.5900100000001,2229414.3,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2016-11-01,356788.98952000006,726859.0306900002,-0.055758506922261586,1452.36931,2074813.2999999998,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2016-12-01,357837.36303,729380.36934,-0.029032969767926575,1360.13066,1943043.7999999998,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2017-01-03,387635.88156,765229.14487,-0.02905417203458227,1283.05513,1832935.9,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2017-02-03,387928.51720999996,766465.78041,-0.028994078255917155,1189.5195899999999,1699313.7,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2017-03-01,353907.14295999997,733539.5129,-0.02899303363660677,1080.4870999999998,1543552.9999999998,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2017-04-05,385774.1748400001,762992.86272,-0.029027540411360686,1005.13728,1435910.3999999997,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2017-05-02,359140.57460000005,731394.4281700001,-0.028971650273110217,897.2718299999999,1281816.9,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2017-06-01,359377.74747,735529.2080300001,-0.028744311098676922,805.2919699999999,1150417.0999999999,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2017-07-03,391686.01067000005,794987.4648000001,-0.01597988304733733,1461.1352,2087336.0000000002,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2017-08-01,363033.50554000004,781122.9801099999,-0.017441877332222133,1351.5198899999998,1930742.7000000002,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2017-09-01,362935.5772800001,841928.59279,-0.0196889647696461,1255.1072100000001,1793010.3000000003,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2017-10-09,394072.52238,845220.68609,-0.03181926286713721,1168.8139100000003,1669245.0999999999,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2017-11-01,364491.05582,805727.29203,-0.031818218459203185,1090.10797,1557297.0999999999,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2017-12-01,365022.36264,783451.79978,-0.034007855007544885,1027.4002200000002,1467714.6,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2018-01-02,368622.28287,800730.9030999999,-0.03400772085034043,968.4969,1383567.0,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2018-02-01,368026.03757000004,804204.9056200001,-0.03400110947182555,902.6943800000001,1289563.4,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2018-03-01,366530.52447,832352.20961,-0.03401231716428432,836.8903899999999,1195557.7000000002,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2018-04-02,396020.56110000005,839745.9639000001,-0.08839499907732074,822.2361,1174623.0,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2018-05-02,363362.18738,841110.5175300001,-0.08837092195256724,774.78247,1106832.1,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2018-06-01,364614.66056,853316.71707,-0.08835876966110068,733.38293,1047689.8999999999,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2018-07-02,405217.65228000004,887200.97904,-0.08835255754684324,714.1209599999999,1020172.7999999999,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2018-08-01,385425.7238,893360.71722,-0.08837473954543074,667.0827799999998,952975.4,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2018-09-03,443108.0122100001,898292.80723,-0.08838909735915623,646.4927699999998,923561.0999999999,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2018-10-08,399139.95862000005,834712.6156700002,-0.0883378372011262,599.6843299999999,856691.8999999999,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2018-11-01,391838.83238000004,813992.0374600001,-0.0883354349561758,572.76254,818232.1999999998,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2018-12-03,409471.24169000005,806883.1009199999,-0.08839107841923499,566.4990799999999,809284.4,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2019-01-02,386363.69576000003,792945.0146,-0.08831931048963115,518.7854000000001,741122.0,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2019-02-01,386599.40748,774557.77909,-0.08838299620548784,479.92090999999994,685601.2999999999,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2019-03-01,398135.90861000004,742508.9352800001,-0.08835268850271771,454.26471999999995,648949.6,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2019-04-01,390041.53816999996,719130.6627999999,-0.08832110534185178,426.4372,609196.0000000001,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2019-05-06,398391.39502000005,723001.5672299998,-0.08840361419645137,1117.7327699999998,1596761.1,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2019-06-03,433042.77029,749537.84685,-0.08838314051017271,1076.9531500000003,1538504.5,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
S4SD-0076,beginning,2019-07-01,397700.72396,716829.46796,-0.0883114156676934,1026.63204,1466617.2,0.0,0,0,0,0,True,42cc6c17c2a105704f7153f4a5cff06c1570b5a8f4c88c5f86414582a9bbc148,117728
