Warning: truncated output (original token count: 34268)
Total output lines: 217

spec_id,deposit_timing,first_feasible_month,feasible_date_rate,W12,W24,futures_pnl,margin_peak,margin_mean,margin_to_nav_peak,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other,monthly_reject_json,margin_calls,forced_liquidations,rolls,fees,max_drawdown,asset_identity_failures,etf_codes_traded,dual_target_pass,daily_ledger_sha256,daily_ledger_rows
S4ARB-0010,beginning,2024-10,0.1081081081081081,361545.66043,768534.71799,-29828.999999999964,170388.0,50136.964948453606,0.5966813382816102,105,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":12},""202412"":{""free_cash_insufficient"":8},""202502"":{""free_cash_insufficient"":15},""202503"":{""free_cash_insufficient"":20},""202505"":{""free_cash_insufficient"":17},""202507"":{""free_cash_insufficient"":15}}",0,0,19,1088.2220099999995,-0.1791516080515731,0,"510300,510880,518880,511010",False,bd1c09cea2c843f6a56990e084ae8e3e52ed57a20df847d41d31cb7cefdd0922,485
S4ARB-0010,ending,2024-10,0.0823529411764705,335320.0141900001,710744.35734,-77750.99999999988,168432.0,98057.19587628866,0.6414243650386007,18,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,6,649.0226600000001,-0.1905085895159377,0,"510300,510880,518880,511010",False,39f0d385a727b58f4d5894b9e24bd3fbeaf768e7d16580162e6237c3b44c8470,485
S4ARB-0011,beginning,2024-10,0.1081081081081081,361545.66043,768534.71799,-29828.999999999964,170388.0,50136.964948453606,0.5966813382816102,105,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":12},""202412"":{""free_cash_insufficient"":8},""202502"":{""free_cash_insufficient"":15},""202503"":{""free_cash_insufficient"":20},""202505"":{""free_cash_insufficient"":17},""202507"":{""free_cash_insufficient"":15}}",0,0,19,1088.2220099999995,-0.1791516080515731,0,"510300,510880,518880,511010",False,bd1c09cea2c843f6a56990e084ae8e3e52ed57a20df847d41d31cb7cefdd0922,485
S4ARB-0011,ending,2024-10,0.0823529411764705,335320.0141900001,710744.35734,-77750.99999999988,168432.0,98057.19587628866,0.6414243650386007,18,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,6,649.0226600000001,-0.1905085895159377,0,"510300,510880,518880,511010",False,39f0d385a727b58f4d5894b9e24bd3fbeaf768e7d16580162e6237c3b44c8470,485
S4ARB-0012,beginning,2024-10,0.0246913580246913,352362.75727000006,735163.6576600001,-56819.99999999989,168432.0,97782.63092783504,0.6591948090390691,8,70,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":1}}",0,0,1,687.3623399999999,-0.1552161994388744,0,"510300,510880,518880,511010",False,18fed5d7e1972597944fa78bdd5701ef92785ba5b1f47c58c37178b61021f689,485
S4ARB-0012,ending,2024-10,0.037037037037037,334374.8542300001,709565.0401700002,-57050.99999999988,168432.0,98112.8412371134,0.6611322405935428,7,70,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,2,608.33983,-0.1927099698274008,0,"510300,510880,518880,511010",False,e53a7a01210c051bf13229cc3fd8e075e8548fee45a8b94811d566c9d3511030,485
S4ARB-0013,beginning,2024-10,0.0246913580246913,352362.75727000006,735163.6576600001,-56819.99999999989,168432.0,97782.63092783504,0.6591948090390691,8,70,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":1}}",0,0,1,687.3623399999999,-0.1552161994388744,0,"510300,510880,518880,511010",False,18fed5d7e1972597944fa78bdd5701ef92785ba5b1f47c58c37178b61021f689,485
S4ARB-0013,ending,2024-10,0.037037037037037,334374.8542300001,709565.0401700002,-57050.99999999988,168432.0,98112.8412371134,0.6611322405935428,7,70,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,2,608.33983,-0.1927099698274008,0,"510300,510880,518880,511010",False,e53a7a01210c051bf13229cc3fd8e075e8548fee45a8b94811d566c9d3511030,485
S4ARB-0014,beginning,2024-10,0.0246913580246913,352362.75727000006,735163.6576600001,-56819.99999999989,168432.0,97782.63092783504,0.6591948090390691,8,70,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":1}}",0,0,1,687.3623399999999,-0.1552161994388744,0,"510300,510880,518880,511010",False,18fed5d7e1972597944fa78bdd5701ef92785ba5b1f47c58c37178b61021f689,485
S4ARB-0014,ending,2024-10,0.037037037037037,334374.8542300001,709565.0401700002,-57050.99999999988,168432.0,98112.8412371134,0.6611322405935428,7,70,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,2,608.33983,-0.1927099698274008,0,"510300,510880,518880,511010",False,e53a7a01210c051bf13229cc3fd8e075e8548fee45a8b94811d566c9d3511030,485
