spec_id,deposit_timing,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_calls,forced_liquidations,rolls,limit_rejects,fees,max_drawdown,asset_identity_failures,dual_target_pass
CO-0000,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0000,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0001,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0001,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0002,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0002,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0003,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0003,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0004,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0004,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0005,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0005,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0006,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0006,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0007,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0007,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0008,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0008,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0009,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0009,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0010,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0010,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0011,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0011,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0012,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0012,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0013,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0013,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0014,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0014,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0015,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0015,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0016,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0016,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0017,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0017,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0018,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0018,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0019,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0019,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0020,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0020,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0021,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0021,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0022,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0022,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0023,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0023,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0024,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0024,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0025,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0025,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0026,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0026,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0027,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0027,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0028,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0028,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0029,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0029,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0030,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0030,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0031,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0031,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0032,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0032,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0033,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0033,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0034,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
CO-0034,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0035,beginning,,0.0,417199.58469,871744.1779700001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,False
