spec_id,deposit_timing,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_peak,margin_mean,margin_to_nav_peak,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other,monthly_reject_json,margin_calls,forced_liquidations,rolls,fees,max_drawdown,asset_identity_failures,u3_codes_traded,dual_target_pass
CO-0442,beginning,2024-10,0.1428571428571428,405874.5475,856528.1108900001,13351.399999999989,-49139.999999999935,170388.0,52090.960824742266,0.4906700762045697,90,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":12},""202412"":{""free_cash_insufficient"":8},""202502"":{""free_cash_insufficient"":15},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":3},""202507"":{""free_cash_insufficient"":15},""202508"":{""free_cash_insufficient"":1}}",1,1,24,914.28911,-0.1866982625186062,1,"510050,510300,510500",False
CO-0442,ending,2024-10,0.0823529411764705,385677.59001,819943.5745200001,11159.69999999998,-77750.99999999988,168432.0,98057.19587628866,0.5191893058805237,18,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,6,388.92548,-0.1625712576626863,0,"510050,510300,510500",False
CO-0443,beginning,2024-10,0.1428571428571428,405874.5475,856528.1108900001,13351.399999999989,-49139.999999999935,170388.0,52090.960824742266,0.4906700762045697,90,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":12},""202412"":{""free_cash_insufficient"":8},""202502"":{""free_cash_insufficient"":15},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":3},""202507"":{""free_cash_insufficient"":15},""202508"":{""free_cash_insufficient"":1}}",1,1,24,914.28911,-0.1866982625186062,1,"510050,510300,510500",False
CO-0443,ending,2024-10,0.0823529411764705,385677.59001,819943.5745200001,11159.69999999998,-77750.99999999988,168432.0,98057.19587628866,0.5191893058805237,18,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,6,388.92548,-0.1625712576626863,0,"510050,510300,510500",False
CO-0444,beginning,2024-10,0.0246913580246913,410424.58117,859726.17951,13448.099999999982,-56819.99999999989,168432.0,97782.63092783504,0.5252316063514134,8,70,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":1}}",0,0,1,369.62049,-0.1508794930069097,0,"510050,510300,510500",False
CO-0444,ending,2024-10,0.037037037037037,391473.1522400001,827359.6591500002,13952.79999999998,-57050.99999999988,168432.0,98112.8412371134,0.5299467807301087,7,70,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,2,352.74085,-0.1593057393464635,0,"510050,510300,510500",False
CO-0445,beginning,2024-10,0.0246913580246913,410424.58117,859726.17951,13448.099999999982,-56819.99999999989,168432.0,97782.63092783504,0.5252316063514134,8,70,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":1}}",0,0,1,369.62049,-0.1508794930069097,0,"510050,510300,510500",False
CO-0445,ending,2024-10,0.037037037037037,391473.1522400001,827359.6591500002,13952.79999999998,-57050.99999999988,168432.0,98112.8412371134,0.5299467807301087,7,70,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,2,352.74085,-0.1593057393464635,0,"510050,510300,510500",False
CO-0446,beginning,2024-10,0.0246913580246913,410424.58117,859726.17951,13448.099999999982,-56819.99999999989,168432.0,97782.63092783504,0.5252316063514134,8,70,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":1}}",0,0,1,369.62049,-0.1508794930069097,0,"510050,510300,510500",False
CO-0446,ending,2024-10,0.037037037037037,391473.1522400001,827359.6591500002,13952.79999999998,-57050.99999999988,168432.0,98112.8412371134,0.5299467807301087,7,70,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,2,352.74085,-0.1593057393464635,0,"510050,510300,510500",False
