product,cash_buffer,paths,infeasible_rate,W12,W24,margin_calls
IC,0.2,8,0.9032290960981304,441193.0000000001,771193.0000000001,0
IC,0.3,8,0.9350463870511041,409924.00000000006,739924.0,0
IF,0.2,8,0.9386400864322151,366840.0,696840.0,0
IF,0.3,8,0.954084299625976,325548.99999999994,677763.0,0
IH,0.2,8,0.9243030545551555,398924.0,728924.0,0
IH,0.3,8,0.9243030545551555,398924.0,728924.0,0
IM,0.2,8,0.8853978097374323,520761.00000000006,850761.0,0
IM,0.3,8,0.9417364853864583,281631.00000000006,515721.9999999998,0
