spec_id,W12,W24,max_drawdown,infeasible_rate,costs,distance
F1_etf_trend_overlay-026,681990.0000000002,1011990.0000000002,-0.28336393471063615,0.9107142857142857,52.0,0.15667499999999981
F1_etf_trend_overlay-027,667332.0000000002,997332.0000000002,-0.24327011414691846,0.9444444444444444,30.0,0.16888999999999982
F1_etf_trend_overlay-024,659139.0000000002,989139.0000000002,-0.2930451125009157,0.8909090909090909,63.0,0.1757174999999998
F1_etf_trend_overlay-025,645079.0000000002,975079.0000000002,-0.2520952236562609,0.9245283018867925,41.0,0.18743416666666649
F1_etf_trend_overlay-019,619844.0000000001,949844.0000000001,-0.21014624516196057,0.9433962264150944,30.0,0.20846333333333322
F1_etf_trend_overlay-017,602675.0000000001,932675.0000000001,-0.21617180180466034,0.9245283018867925,41.0,0.22277083333333322
F1_etf_trend_overlay-018,597742.0000000001,927742.0000000001,-0.3052850454008287,0.9090909090909091,52.0,0.22688166666666656
F1_etf_trend_overlay-016,588371.0000000001,918371.0000000001,-0.3096254242405392,0.8909090909090909,63.0,0.23469083333333324
F1_etf_trend_overlay-029,523692.0000000002,853692.0000000002,-0.2915139724622601,0.88,30.0,0.2885899999999998
F1_etf_trend_overlay-001,522785.99999999977,852785.9999999998,-0.27853102645150574,0.953125,30.0,0.2893450000000002
F1_etf_trend_overlay-028,520761.00000000006,850761.0,-0.36948993422702137,0.8461538461538461,41.0,0.2910325
F1_etf_trend_overlay-000,519523.99999999994,849524.0,-0.34992689698224166,0.9242424242424242,52.0,0.29206333333333334
F1_etf_trend_overlay-021,494004.0,824004.0,-0.26278049504641077,0.9117647058823529,30.0,0.31333
F1_etf_trend_overlay-020,441193.0000000001,771193.0000000001,-0.39863968699518093,0.8857142857142857,41.0,0.3573391666666666
F1_etf_trend_overlay-013,439339.9999999999,769339.9999999999,-0.19975189966784213,0.8979591836734694,52.0,0.35888333333333344
F1_etf_trend_overlay-015,439339.9999999999,769339.9999999999,-0.19975189966784213,0.8979591836734694,52.0,0.35888333333333344
F1_etf_trend_overlay-006,418030.9999999999,748030.9999999999,-0.09753536770723725,0.9418604651162791,52.0,0.3766408333333334
F1_etf_trend_overlay-022,417742.0000000002,747742.0000000002,-0.15464097280405786,0.9305555555555556,52.0,0.37688166666666645
F1_etf_trend_overlay-007,412292.99999999994,742293.0,-0.09886184796829667,0.9642857142857143,30.0,0.3814225
F1_etf_trend_overlay-023,409924.00000000006,739924.0,-0.15742798391856005,0.9571428571428572,30.0,0.38339666666666666
F1_etf_trend_overlay-014,405174.9999999998,735174.9999999998,-0.32968754189494776,0.8627450980392157,74.0,0.3873541666666669
F1_etf_trend_overlay-012,405174.9999999998,735174.9999999998,-0.32968754189494776,0.8627450980392157,74.0,0.3873541666666669
F1_etf_trend_overlay-010,398924.0,728924.0,-3.809523809528148e-05,0.9682539682539683,19.0,0.3925633333333333
F1_etf_trend_overlay-011,398924.0,728924.0,-3.809523809528148e-05,0.9682539682539683,19.0,0.3925633333333333
F1_etf_trend_overlay-008,398924.0,728924.0,-3.809523809528148e-05,0.9682539682539683,19.0,0.3925633333333333
F1_etf_trend_overlay-009,398924.0,728924.0,-3.809523809528148e-05,0.9682539682539683,19.0,0.3925633333333333
F1_etf_trend_overlay-005,395112.0,725112.0,-0.19902666666666669,0.9516129032258065,30.0,0.39574
F1_etf_trend_overlay-031,391267.0000000001,721267.0000000001,-0.1630326463905607,0.9696969696969697,19.0,0.39894416666666654
F1_etf_trend_overlay-004,366839.99999999994,696840.0,-0.12243666666666664,0.927710843373494,63.0,0.4193
F1_etf_trend_overlay-002,344558.0,690701.0000000001,-0.13423170837256515,0.9504950495049505,63.0,0.4244158333333332
F1_etf_trend_overlay-003,325548.99999999994,677763.0,-0.16297267638530955,0.9696969696969697,41.0,0.4351975
F1_etf_trend_overlay-030,281631.00000000006,515721.9999999998,-0.42544658778546307,0.958904109589041,162.0,0.5702316666666669
