spec_id,W12,W24,max_drawdown,infeasible_rate,costs,distance
O1_risk_on_call-083,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-084,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-085,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-086,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-087,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-088,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-089,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-090,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-091,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-092,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-093,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-094,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-095,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-096,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-097,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-098,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-099,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-100,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-101,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-102,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-103,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-104,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-105,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-106,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-107,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-108,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-109,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-110,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-111,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-112,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-113,390000.0,720000.0,0.0,1.0,0.0,0.4
O1_risk_on_call-114,390000.0,720000.0,0.0,1.0,0.0,0.4
