universe,family,spec_id,parameters
U3,B,U3-B039,"[2, 20, 20, ""510050"", 20]"
U3,B,U3-B040,"[2, 20, 60, ""cash"", 5]"
U3,B,U3-B041,"[2, 20, 60, ""cash"", 20]"
U3,B,U3-B042,"[2, 20, 60, ""510050"", 5]"
U3,B,U3-B043,"[2, 20, 60, ""510050"", 20]"
U3,B,U3-B044,"[2, 20, 120, ""cash"", 5]"
U3,B,U3-B045,"[2, 20, 120, ""cash"", 20]"
U3,B,U3-B046,"[2, 20, 120, ""510050"", 5]"
U3,B,U3-B047,"[2, 20, 120, ""510050"", 20]"
U3,B,U3-B048,"[2, 60, 20, ""cash"", 5]"
U3,B,U3-B049,"[2, 60, 20, ""cash"", 20]"
U3,B,U3-B050,"[2, 60, 20, ""510050"", 5]"
U3,B,U3-B051,"[2, 60, 20, ""510050"", 20]"
U3,B,U3-B052,"[2, 60, 60, ""cash"", 5]"
U3,B,U3-B053,"[2, 60, 60, ""cash"", 20]"
U3,B,U3-B054,"[2, 60, 60, ""510050"", 5]"
U3,B,U3-B055,"[2, 60, 60, ""510050"", 20]"
U3,B,U3-B056,"[2, 60, 120, ""cash"", 5]"
U3,B,U3-B057,"[2, 60, 120, ""cash"", 20]"
U3,B,U3-B058,"[2, 60, 120, ""510050"", 5]"
U3,B,U3-B059,"[2, 60, 120, ""510050"", 20]"
U3,B,U3-B060,"[2, 120, 20, ""cash"", 5]"
U3,B,U3-B061,"[2, 120, 20, ""cash"", 20]"
U3,B,U3-B062,"[2, 120, 20, ""510050"", 5]"
U3,B,U3-B063,"[2, 120, 20, ""510050"", 20]"
U3,B,U3-B064,"[2, 120, 60, ""cash"", 5]"
U3,B,U3-B065,"[2, 120, 60, ""cash"", 20]"
U3,B,U3-B066,"[2, 120, 60, ""510050"", 5]"
U3,B,U3-B067,"[2, 120, 60, ""510050"", 20]"
U3,B,U3-B068,"[2, 120, 120, ""cash"", 5]"
U3,B,U3-B069,"[2, 120, 120, ""cash"", 20]"
U3,B,U3-B070,"[2, 120, 120, ""510050"", 5]"
U3,B,U3-B071,"[2, 120, 120, ""510050"", 20]"
U3,C,U3-C000,"[0.05, 5, 3, 0.3]"
U3,C,U3-C001,"[0.05, 5, 3, 0.6]"
U3,C,U3-C002,"[0.05, 5, 3, 1.0]"
U3,C,U3-C003,"[0.05, 5, 10, 0.3]"
U3,C,U3-C004,"[0.05, 5, 10, 0.6]"
U3,C,U3-C005,"[0.05, 5, 10, 1.0]"
U3,C,U3-C006,"[0.05, 20, 3, 0.3]"
U3,C,U3-C007,"[0.05, 20, 3, 0.6]"
U3,C,U3-C008,"[0.05, 20, 3, 1.0]"
U3,C,U3-C009,"[0.05, 20, 10, 0.3]"
U3,C,U3-C010,"[0.05, 20, 10, 0.6]"
U3,C,U3-C011,"[0.05, 20, 10, 1.0]"
U3,C,U3-C012,"[0.1, 5, 3, 0.3]"
U3,C,U3-C013,"[0.1, 5, 3, 0.6]"
U3,C,U3-C014,"[0.1, 5, 3, 1.0]"
U3,C,U3-C015,"[0.1, 5, 10, 0.3]"
