spec_id,deposit_timing,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_peak,margin_mean,margin_to_nav_peak,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other,monthly_reject_json,margin_calls,forced_liquidations,rolls,fees,max_drawdown,asset_identity_failures,u3_codes_traded,dual_target_pass
CO-0547,beginning,2024-10,0.0689655172413793,439157.54115,872942.5026700001,15733.799999999972,-66534.0000000002,251280.0,144560.85773195876,0.8493673031320644,18,62,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":13}}",0,0,5,570.0973299999998,-0.2451250783719891,1,"510050,510300,510500",False
CO-0547,ending,2024-10,0.0547945205479452,384628.3069999999,799200.8711399998,15773.399999999974,-80724.00000000012,251280.0,141666.87835051547,0.8624906538014148,6,62,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":1}}",0,0,3,481.72886,-0.2391319868551222,0,"510050,510300,510500",False
CO-0548,beginning,2024-10,0.0879120879120879,456833.8712500001,895531.5421500001,15763.799999999974,-81954.00000000023,252936.0,143588.28865979382,0.7407832351285261,20,62,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":15}}",0,0,7,607.75785,-0.1589595838373365,0,"510050,510300,510500",False
CO-0548,ending,2024-10,0.1195652173913043,378297.2216199997,787049.6454099998,16026.499999999973,-130218.0000000004,252936.0,143628.2474226804,0.7530536896445614,14,66,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":8,""nav_multiple_gate"":4},""202411"":{""free_cash_insufficient"":1}}",0,0,10,592.0545899999998,-0.226248206056106,0,"510050,510300,510500",False
CO-0549,beginning,2024-10,0.0879120879120879,456833.8712500001,895531.5421500001,15763.799999999974,-81954.00000000023,252936.0,143588.28865979382,0.7407832351285261,20,62,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":15}}",0,0,7,607.75785,-0.1589595838373365,0,"510050,510300,510500",False
CO-0549,ending,2024-10,0.1195652173913043,378297.2216199997,787049.6454099998,16026.499999999973,-130218.0000000004,252936.0,143628.2474226804,0.7530536896445614,14,66,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":8,""nav_multiple_gate"":4},""202411"":{""free_cash_insufficient"":1}}",0,0,10,592.0545899999998,-0.226248206056106,0,"510050,510300,510500",False
CO-0550,beginning,2024-10,0.0879120879120879,456833.8712500001,895531.5421500001,15763.799999999974,-81954.00000000023,252936.0,143588.28865979382,0.7407832351285261,20,62,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":15}}",0,0,7,607.75785,-0.1589595838373365,0,"510050,510300,510500",False
CO-0550,ending,2024-10,0.1195652173913043,378297.2216199997,787049.6454099998,16026.499999999973,-130218.0000000004,252936.0,143628.2474226804,0.7530536896445614,14,66,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":8,""nav_multiple_gate"":4},""202411"":{""free_cash_insufficient"":1}}",0,0,10,592.0545899999998,-0.226248206056106,0,"510050,510300,510500",False
CO-0551,beginning,2024-10,0.0879120879120879,456833.8712500001,895531.5421500001,15763.799999999974,-81954.00000000023,252936.0,143588.28865979382,0.7407832351285261,20,62,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":15}}",0,0,7,607.75785,-0.1589595838373365,0,"510050,510300,510500",False
CO-0551,ending,2024-10,0.1195652173913043,378297.2216199997,787049.6454099998,16026.499999999973,-130218.0000000004,252936.0,143628.2474226804,0.7530536896445614,14,66,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":8,""nav_multiple_gate"":4},""202411"":{""free_cash_insufficient"":1}}",0,0,10,592.0545899999998,-0.226248206056106,0,"510050,510300,510500",False
