spec_id,W12,W24,max_drawdown,infeasible_rate,costs,distance
O2_multiscale_trend_call-000,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-001,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-002,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-003,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-004,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-005,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-006,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-007,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-008,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-009,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-010,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-011,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-012,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-013,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-014,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-015,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-016,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-017,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-018,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-019,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-020,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-021,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-022,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-023,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-024,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-025,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-026,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-027,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-028,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-029,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-030,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-031,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-032,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-033,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-034,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-035,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-036,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-037,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-038,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-039,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-040,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-041,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-042,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-043,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-044,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-045,390000.0,720000.0,0.0,1.0,0.0,0.4
O2_multiscale_trend_call-046,390000.0,720000.0,0.0,1.0,0.0,0.4
