spec_id,family,cohorts,worst_w12,p5_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,funds_insufficient,lot_rounding,suspension_or_missing_price,asset_identity_passed,passes_targets,strict_candidate,evidence_tier
HE-vol_drawdown_cash-000,vol_drawdown_cash,134,346864.49999999994,351653.63000000006,694031.2997999999,701366.5,736182.4828049999,0.0,6,0,0.04634371493092293,0.0,1800.2068500000003,2192260.7,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-003,vol_drawdown_cash,134,346864.49999999994,351862.26999999996,694031.2997999999,701366.5,736881.1328050001,0.0,6,0,0.046351095081061056,0.0,912.9961299999999,856095.5,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-006,vol_drawdown_cash,134,346864.49999999994,351862.26999999996,694031.2997999999,701366.5,737940.9070000001,0.0,6,0,0.046347509233932827,0.0,1338.94565,1526534.0999999996,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-009,vol_drawdown_cash,134,346864.49999999994,351862.26999999996,694031.2997999999,701366.5,736881.1328050001,0.0,6,0,0.04634507389184894,0.0,1172.02415,1264285.5999999999,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-012,vol_drawdown_cash,134,346864.49999999994,351414.3016790001,694031.2997999999,700961.6372465001,735653.85244,0.0,6,0,0.046347509233932827,0.0,1777.3629,2186011.9000000004,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-018,vol_drawdown_cash,134,346864.49999999994,351653.63000000006,694031.2997999999,701366.5,734592.3999999999,0.0,6,0,0.04637448300573821,0.0,1755.8094099999998,2092240.5999999996,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-021,vol_drawdown_cash,134,346864.49999999994,351862.26999999996,694031.2997999999,701366.5,735413.24882,0.0,6,0,0.046339818556657586,0.0,916.7654299999999,858302.1,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-024,vol_drawdown_cash,134,346864.49999999994,350805.7310065,694031.2997999999,701366.5,736008.6010299998,0.0,6,0,0.05292193670626699,0.0,1430.6782999999998,1651991.4000000001,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-027,vol_drawdown_cash,134,346864.49999999994,351862.26999999996,694031.2997999999,701366.5,735788.8999999999,0.0,6,0,0.05291513927474212,0.0,1249.2637400000003,1380426.0,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-015,vol_drawdown_cash,134,346184.71350000007,351275.69422400004,694031.2997999999,700614.272715,735657.7373550001,0.0,6,0,0.046347509233932827,0.0,1316.74105,1499556.4000000004,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
