code,start,end,total_records,pages,candidate_records,index_sha256,request_url,sql_id,fetched_at,evidence_tier
510050,2024-01-01,2025-12-31,54,1,4,dd33ef21ad15fed6c61802e7600c4de15c9d75d4c6ea3d1464185270b50a8c14,https://query.sse.com.cn/commonQuery.do,COMMON_PL_JJXX_JJGG_NEW_L,2026-07-11T18:36:19.316243+00:00,official_sse_announcement_index
510300,2024-01-01,2025-12-31,48,1,3,6bc659f741ef08d3a85d5ea8fd54ad2794403b3565098b17ff020a1e224e8407,https://query.sse.com.cn/commonQuery.do,COMMON_PL_JJXX_JJGG_NEW_L,2026-07-11T18:36:28.131740+00:00,official_sse_announcement_index
510500,2024-01-01,2025-12-31,57,1,3,d1b5ddb69ed78448c3197c40511620ca25216f96d89ace53a2bc2ad5edd8b65d,https://query.sse.com.cn/commonQuery.do,COMMON_PL_JJXX_JJGG_NEW_L,2026-07-11T18:36:36.210729+00:00,official_sse_announcement_index
512100,2024-01-01,2025-12-31,63,1,2,ce07340c6988de11f31577df2afdc8380ea0d0bb76d47f549a077500fd71a155,https://query.sse.com.cn/commonQuery.do,COMMON_PL_JJXX_JJGG_NEW_L,2026-07-11T18:36:44.620233+00:00,official_sse_announcement_index
