spec_id,W12,W24,max_drawdown,infeasible_rate,costs,distance
O3_drawdown_protective_put-077,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-078,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-079,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-080,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-081,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-082,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-083,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-084,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-085,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-086,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-087,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-088,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-089,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-090,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-091,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-092,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-093,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-094,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-095,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-096,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-097,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-098,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-099,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-100,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-101,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-102,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-103,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-104,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-105,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-106,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-107,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-108,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-109,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-110,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-111,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-112,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-113,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-114,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-115,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-116,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-117,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-118,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-119,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-120,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-121,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-122,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-123,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-124,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-125,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-126,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-127,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-128,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-129,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-130,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-131,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-132,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-133,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-134,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-135,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-136,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-137,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-138,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-139,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-140,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-141,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-142,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-143,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-144,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-145,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-146,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-147,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-148,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-149,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-150,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-151,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-152,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-153,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-154,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-155,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-156,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-157,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-158,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-159,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-160,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-161,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-162,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-163,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-164,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-165,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-166,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-167,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-168,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-169,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-170,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-171,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-172,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-173,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-174,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-175,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-176,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-177,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-178,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-179,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-180,390000.0,720000.0,0.0,1.0,0.0,0.4
