spec_id,W12,W24,max_drawdown,infeasible_rate,costs,distance
F3_vol_drawdown_hedge-107,681990.0000000002,1011990.0000000002,-0.28336393471063615,0.9107142857142857,52.0,0.15667499999999981
F3_vol_drawdown_hedge-106,681990.0000000002,1011990.0000000002,-0.28336393471063615,0.9107142857142857,52.0,0.15667499999999981
F3_vol_drawdown_hedge-105,681990.0000000002,1011990.0000000002,-0.28336393471063615,0.9107142857142857,52.0,0.15667499999999981
F3_vol_drawdown_hedge-104,681990.0000000002,1011990.0000000002,-0.28336393471063615,0.9107142857142857,52.0,0.15667499999999981
F3_vol_drawdown_hedge-111,667332.0000000002,997332.0000000002,-0.24327011414691846,0.9444444444444444,30.0,0.16888999999999982
F3_vol_drawdown_hedge-110,667332.0000000002,997332.0000000002,-0.24327011414691846,0.9444444444444444,30.0,0.16888999999999982
F3_vol_drawdown_hedge-109,667332.0000000002,997332.0000000002,-0.24327011414691846,0.9444444444444444,30.0,0.16888999999999982
F3_vol_drawdown_hedge-108,667332.0000000002,997332.0000000002,-0.24327011414691846,0.9444444444444444,30.0,0.16888999999999982
F3_vol_drawdown_hedge-099,659139.0000000002,989139.0000000002,-0.2930451125009157,0.8909090909090909,63.0,0.1757174999999998
F3_vol_drawdown_hedge-098,659139.0000000002,989139.0000000002,-0.2930451125009157,0.8909090909090909,63.0,0.1757174999999998
F3_vol_drawdown_hedge-097,659139.0000000002,989139.0000000002,-0.2930451125009157,0.8909090909090909,63.0,0.1757174999999998
F3_vol_drawdown_hedge-096,659139.0000000002,989139.0000000002,-0.2930451125009157,0.8909090909090909,63.0,0.1757174999999998
F3_vol_drawdown_hedge-103,645079.0000000002,975079.0000000002,-0.2520952236562609,0.9245283018867925,41.0,0.18743416666666649
F3_vol_drawdown_hedge-102,645079.0000000002,975079.0000000002,-0.2520952236562609,0.9245283018867925,41.0,0.18743416666666649
F3_vol_drawdown_hedge-101,645079.0000000002,975079.0000000002,-0.2520952236562609,0.9245283018867925,41.0,0.18743416666666649
F3_vol_drawdown_hedge-100,645079.0000000002,975079.0000000002,-0.2520952236562609,0.9245283018867925,41.0,0.18743416666666649
F3_vol_drawdown_hedge-079,619844.0000000001,949844.0000000001,-0.21014624516196057,0.9433962264150944,30.0,0.20846333333333322
F3_vol_drawdown_hedge-078,619844.0000000001,949844.0000000001,-0.21014624516196057,0.9433962264150944,30.0,0.20846333333333322
F3_vol_drawdown_hedge-077,619844.0000000001,949844.0000000001,-0.21014624516196057,0.9433962264150944,30.0,0.20846333333333322
F3_vol_drawdown_hedge-076,619844.0000000001,949844.0000000001,-0.21014624516196057,0.9433962264150944,30.0,0.20846333333333322
F3_vol_drawdown_hedge-068,602675.0000000001,932675.0000000001,-0.21617180180466034,0.9245283018867925,41.0,0.22277083333333322
F3_vol_drawdown_hedge-069,602675.0000000001,932675.0000000001,-0.21617180180466034,0.9245283018867925,41.0,0.22277083333333322
